release_date,original_title,vote_average
2013-09-07,L'Amour Est un Crime Parfait,5.1
2009-10-23,Dear Lemon Lima,5.8
2014-08-22,Wrong Turn 6: Last Resort,4.6
1966-12-23,Kriminal,6.0
1966-08-12,Le spie amano i fiori,5.5
1965-09-03,"A 008, operazione Sterminio",0.0
1964-03-28,"Sandok, il Maciste della giungla",0.0
1963-12-13,Zorro contro Maciste,0.0
1963-01-12,Caterina di Russia,4.0
1991-01-05,Demoni 3,3.7
1989-01-01,Paura nel buio,5.0
1988-05-21,La casa 3,4.5
1983-03-10,La guerra del ferro - Ironmaster,3.8
1978-08-17,La Banda Del Gobbo,6.9
1978-02-07,Il grande attacco,4.5
1977-02-03,"Il cinico, l'infame, il violento",7.0
1976-08-27,Il trucido e lo sbirro,7.7
1976-08-07,Napoli violenta,7.4
1976-10-10,Roma a mano armata,7.3
1975-01-01,Il giustiziere sfida la città,5.8
1975-08-05,L'uomo della strada fa giustizia,6.0
1973-02-21,Milano Rovente,5.3
1972-08-24,Il coltello di ghiaccio,5.9
1972-08-07,Il paese del sesso selvaggio,5.7
1972-06-30,Sette orchidee macchiate di rosso,6.3
1971-08-18,Un posto ideale per uccidere,5.6
1970-02-20,A Quiet Place to Kill,5.7
1969-02-07,Orgasmo,6.2
1968-08-24,Una pistola per cento bare,5.8
1970-08-02,Giunse Ringo e... fu tempo di massacro,0.0
1971-09-06,Vamos a matar Sartana,0.0
1975-10-02,Due Magnum .38 per una città di carogne,0.0
2014-04-23,We Could Be King,5.8
2013-09-08,Canopy,4.4
2014-08-18,Raised by Wolves,3.0
2011-01-01,Rites of Spring,4.1
2004-09-28,Barbie as The Princess & the Pauper,6.9
2005-03-08,Barbie: Fairytopia,5.7
2003-09-28,Barbie of Swan Lake,6.6
2015-01-29,Barbie in Princess Power,5.5
2005-12-31,Barbie Diaries,5.5
2011-08-11,Barbie: Princess Charm School,6.4
2014-08-30,Barbie and the Secret Door,6.0
2011-03-01,Barbie: A Fairy Secret,5.4
2006-09-19,Barbie in the 12 Dancing Princesses,6.9
2012-09-13,Barbie: The Princess & The Popstar,6.0
2008-01-01,Barbie and the Diamond Castle,6.6
2010-01-26,Barbie in A Mermaid Tale,6.2
2007-09-18,Barbie as the Island Princess,6.3
2012-02-23,Barbie in A Mermaid Tale 2,6.0
2009-09-15,Barbie and the Three Musketeers,6.2
2013-02-14,Barbie in the Pink Shoes,5.3
2008-07-01,Barbie in 'A Christmas Carol',6.5
2013-02-19,Barbie: The Pearl Princess,6.0
2013-08-26,Barbie: Mariposa and The Fairy Princess,6.3
2009-02-24,Barbie Presents: Thumbelina,5.5
2007-01-01,Barbie Fairytopia: Magic of the Rainbow,6.2
2006-03-14,Barbie Fairytopia: Mermaidia,6.2
2002-10-01,Barbie as Rapunzel,6.4
2005-10-05,Barbie and the Magic of Pegasus 3-D,6.2
2013-10-07,Barbie & Her Sisters in A Pony Tale,6.2
2008-02-08,Barbie Mariposa and Her Butterfly Fairy Friends,5.6
1987-01-01,Barbie and the Rockers: Out Of This World,3.6
1966-10-01,Der var engang,6.0
1970-08-24,Nøglen til paradis,5.8
1964-09-25,Sommer i Tyrol,7.1
2014-12-17,La Famille Bélier,7.0
2000-01-01,Green Sails,0.0
2015-08-20,Hitman: Agent 47,5.5
2013-10-18,How Sherlock Changed the World,0.0
1986-05-28,Working Girls,3.7
2012-03-12,Doug Stanhope: Before Turning the Gun on Himself,8.0
2011-05-03,Doug Stanhope: Oslo - Burning the Bridge to Nowhere,6.1
2013-08-19,Doug Stanhope: Beer Hall Putsch,8.4
2014-11-14,Chelsea Peretti: One of the Greats,6.7
1998-11-03,Listening to You: The Who Live at the Isle of Wight,4.8
2007-09-18,The Comedians of Comedy: Live at The Troubadour,6.6
2015-03-19,Ч/Б,5.2
2010-08-13,Tinker Bell and the Great Fairy Rescue,6.3
1975-09-19,The Man Who Skied Down Everest,5.0
2014-10-24,One Eyed Girl,5.0
2014-04-03,Island of Lemurs: Madagascar,4.3
1930-10-18,Billy the Kid,0.0
2015-03-26,Court,6.6
2013-09-27,The Secret Lives of Dorks,4.8
2014-01-24,Run & Jump,6.7
2014-04-24,A Fighting Man,5.2
2012-12-07,Dom över död man,5.3
2013-06-06,When Comedy Went to School,6.5
2013-09-11,Jimmy P.,6.0
2008-10-10,Call + Response,8.0
2013-06-18,Spijt!,7.6
2004-08-07,Yasmin,7.5
2014-02-27,Bluebird,6.3
1967-07-15,Charlie Bubbles,6.7
2014-10-01,One Little Pill,9.0
1980-03-30,Bukowski: The Last Straw,2.0
2014-09-04,The Dead Lands,6.1
2013-11-13,Two Raging Grannies,6.0
2015-07-10,Ricki and the Flash,5.6
2010-03-31,Lignes de Front,5.5
2014-02-14,Back Issues: The Hustler Magazine Story,7.5
2011-01-01,Kissinger,7.0
2013-03-29,100 Degrees Below Zero,3.6
2014-09-19,Pump!,7.8
1983-09-10,Variety,5.0
2014-04-08,Cocaine Cowboys: Reloaded,7.3
2013-03-01,Genius on Hold,6.7
2009-08-13,Tar Creek,9.0
2007-11-01,The Water Front,0.0
2010-05-25,Jedi Junkies,6.3
1997-08-09,Breeders,4.1
2012-04-28,Time Zero: The Last Year of Polaroid Film,7.3
1978-12-28,贊先生與找錢華,7.6
2010-04-04,The 'Socalled' Movie,5.0
2013-09-01,Hank: 5 Years from the Brink,0.0
2012-01-19,We’re Not Broke,6.0
2012-06-07,Sushi: The Global Catch,5.5
2015-01-01,Resistance,7.2
2014-10-31,Exile Nation: The Plastic People,8.0
2012-11-23,The Fruit Hunters,7.1
2011-01-01,Ethos,7.1
1969-09-01,Linda and Abilene,3.5
2012-09-19,Radio Unnameable,8.5
2013-03-12,Germ,3.3
2014-03-10,DamNation,6.7
2010-08-13,Lifted,6.9
2000-01-01,Πίσω πόρτα,7.5
2015-04-17,1915,6.0
2007-04-25,The Workshop,4.4
1942-05-15,The Mad Monster,2.5
2014-11-08,Ride,6.0
2015-01-20,The Eichmann Show,6.3
1995-11-28,Die Gebrüder Skladanowsky,5.1
1980-10-01,Lightning Over Water,5.5
1989-01-01,Aufzeichnungen zu Kleidern und Städten,6.5
2014-11-14,The Seven Five,7.8
1968-12-08,Золотой теленок,7.6
2015-01-25,Partisan,6.2
2013-09-20,LFO,6.9
1953-01-29,まごころ,5.0
2011-03-19,Christopher and His Kind,6.7
1972-12-21,Afyon oppio,0.0
2012-07-13,Ja saapuu oikea yö,6.5
2015-05-08,Infini,5.1
2013-01-15,Off World,4.5
2012-09-05,Harry Dean Stanton: Partly Fiction,6.7
2014-09-26,Musarañas,6.6
2012-03-20,Shuffle,6.4
2014-08-08,Ventos de Agosto,6.0
2015-05-08,Piku,6.8
2015-02-21,Babysitter's Black Book,5.9
2014-04-21,"Tommy Cooper: Not Like That, Like This",7.6
2014-02-14,Macondo,5.0
2014-02-14,Down and Dangerous,4.3
2015-01-24,German Angst,5.9
1980-05-21,Black Angel,7.1
2009-10-06,Dirty Business,0.0
1986-01-01,Barnum!,7.0
2012-03-06,High Road,5.8
2013-11-04,Alexia,5.3
2015-02-25,Luokkakokous,6.9
2015-05-07,Pitch Perfect 2,6.8
2001-01-01,The Gospel According to Philip K. Dick,2.5
1972-09-05,Le viager,6.9
1976-05-01,Get Mean,4.0
2013-08-01,Razredni sovražnik,6.6
2014-04-06,Farmland,0.0
2013-12-13,Tricked: The Documentary,6.2
2014-09-27,Mutant World,2.6
1961-10-19,Orazi e Curiazi,0.0
1967-08-11,Little Rita nel West,5.0
1968-01-27,Preparati la bara!,6.0
1969-10-17,Il pistolero dell'Ave Maria,5.4
1988-01-01,Missione finale,5.5
2000-01-01,The Prince and the Pauper,5.3
1981-02-12,Giochi erotici nella terza galassia,3.0
1973-11-29,Crash! Che botte... strippo strappo stroppio,0.0
1971-08-05,L'uomo più velenoso del cobra,0.0
1970-02-27,Che fanno i nostri supermen tra le vergini della giungla?,0.0
1979-09-02,I guappi non si toccano,0.0
1979-01-01,Otpusk v Sentyabre,5.7
1969-01-28,Wszystko na sprzedaż,5.8
2012-08-01,เอคโค่ จิ๋วก้องโลก,5.7
2014-04-26,Love Hotel,7.0
1969-07-07,How to Commit Marriage,0.0
1959-01-28,The Trap,7.3
1956-06-04,That Certain Feeling,6.3
1973-08-29,Un hombre llamado Noon,5.0
1972-09-01,Innocent Bystanders,7.0
1968-05-28,The Long Day's Dying,7.3
2005-07-14,Un Buda,7.3
2014-07-16,Two Hundred Thousand Dirty,0.0
2014-04-17,Manos sucias,7.0
2014-04-24,Just Before I Go,6.3
2015-04-23,El bosque de Karadima,6.4
1979-10-01,"Skatetown, U.S.A.",6.5
1989-04-14,Winter People,5.8
1985-09-05,Joshua Then and Now,5.0
1982-11-04,Split Image,6.7
1969-09-17,Two Gentlemen Sharing,4.0
1962-07-01,Tiara Tahiti,6.0
2006-09-21,Macbeth,3.9
1994-02-21,Metal Skin,3.0
1987-04-24,Spettri,4.8
1923-02-23,Der Schatz,0.0
1927-11-20,Do Detectives Think?,6.0
1928-04-21,You're Darn Tootin',5.5
2002-10-18,중독,5.8
2013-09-07,Pelo malo,6.9
2015-05-16,Bessie,6.1
1966-12-02,Das kleine Chaos,5.8
1996-10-03,Djöflaeyjan,5.0
1966-12-26,Här har du ditt liv,6.7
2014-04-27,Iverson,7.2
2012-11-20,Milosc,5.0
1935-07-12,The Murder Man,6.5
2015-05-29,Nightingale,6.1
1999-08-09,Rembrandt,5.8
1966-01-01,Der Stadtstreicher,5.4
1949-01-14,The Accused,5.1
1915-11-14,The Coward,4.5
2013-05-10,The Good Lie,4.0
1957-04-01,The Iron Sheriff,5.0
1934-06-14,The Life of Vergie Winters,6.5
1951-03-25,The Lion Hunters,0.0
1944-03-23,Tunisian Victory,0.0
2013-05-28,The Stone Roses: Made of Stone,5.9
2015-11-20,Carol,7.3
2015-05-11,Thought Crimes,6.6
2011-12-29,Three Inches,4.0
2012-01-27,El Medico: The Cubaton Story,5.0
2015-01-02,Roald Dahl's Esio Trot,7.0
2010-12-19,"Montevideo, Bog te video!",8.1
1996-03-27,Pédale douce,5.5
1970-07-08,Angels Die Hard,0.0
1987-10-01,Dear America: Letters Home from Vietnam,6.8
2014-06-20,Code Black,5.6
2014-06-17,The King of Arcades,5.4
2004-11-19,Anonymous Rex,4.4
2012-07-27,"Usain Bolt, La Légende",6.2
2012-10-28,The American Scream,7.1
2015-05-07,Pound of Flesh,5.4
2014-04-01,Stripped,7.0
2014-03-27,Lucia de B.,6.6
2013-12-05,Ankhon Dekhi,4.6
2009-03-13,Gulaal,6.7
2004-08-13,Black Friday,7.5
2001-01-01,Anthrax,0.0
2008-09-11,영화는 영화다,6.7
1992-01-25,The Buttercream Gang,5.8
2014-11-07,露水紅顏,0.0
2015-07-01,Strangerland,5.1
1977-10-26,Служебный роман,8.1
2011-01-01,The Backwater Gospel,7.9
1962-01-08,Самогонщики,7.6
2005-10-27,Гарпастум,1.0
2011-11-09,On ne choisit pas sa famille,5.8
2014-05-09,Persecuted,5.2
2014-10-26,The Dorm,4.7
2013-01-01,Susie's Hope,0.0
1989-02-05,Sleepaway Camp III: Teenage Wasteland,5.2
2012-08-27,After,5.6
2006-08-10,Las manos,5.0
2003-06-11,Betty Blowtorch: And Her Amazing True Life Adventures,0.0
2012-10-18,Design Is One,6.2
1965-01-01,Мне двадцать лет,6.4
1988-12-03,Холодное лето пятьдесят третьего,6.5
2012-06-14,Кококо,2.5
1998-01-01,The Ransom of Red Chief,4.0
2014-10-09,Monsters: Dark Continent,4.2
2014-10-14,Reminiscence,3.8
2015-05-19,Teacher of the Year,5.7
1967-03-01,The Happening,6.5
2009-04-29,Eyeborgs,4.9
1960-06-15,The Mountain Road,7.0
2015-01-25,Away and Back,5.4
1994-04-11,Andaz Apna Apna,7.6
2000-03-31,Hera Pheri,6.4
2015-10-08,The Lobster,6.7
2015-01-31,Beautiful & Twisted,5.6
1977-03-01,"Abar, the First Black Superman",4.5
2014-08-29,Am Ende ein Fest,6.0
2015-03-20,Güeros,7.7
2015-05-08,Maggie,5.2
1977-09-29,"Ilsa, the Tigress of Siberia",4.1
1973-12-21,女集中营,4.8
1971-04-22,La vittima designata,4.8
2004-05-20,Thunderstruck,7.0
2015-05-08,Hot Pursuit,5.4
1970-05-17,Permissive,5.0
2015-04-16,Slow West,6.6
2012-11-14,Offline,6.3
2014-02-28,Scintilla,4.7
2014-10-10,Meet the Mormons,5.8
2007-05-22,The Mad,5.8
1988-12-16,Malarek,0.0
2007-05-09,The Mars Underground,7.1
1991-05-16,Martial Law,5.7
1993-10-22,Me and the Kid,0.0
2009-05-25,Midgets Vs. Mascots,5.5
1985-11-01,The Midnight Hour,5.7
2015-05-22,The Human Centipede 3 (Final Sequence),3.7
1992-11-12,Mikey,5.2
1996-11-02,Mistrial,5.5
1993-10-10,Model by Day,4.5
2014-09-04,The Green Inferno,5.0
2015-04-21,Just About Famous,6.0
2012-06-12,Alien Origin,1.6
1984-01-01,The Bear,6.0
1973-02-21,Lolly-Madonna XXX,7.0
2004-09-26,Rita da Cascia,7.0
2012-01-01,In the Shadow of the Sun,5.0
1967-11-04,Chappaqua,8.0
2015-02-27,Deli Man,6.9
1976-04-07,Sparkle,5.4
2013-09-10,فرش وغطا,5.4
2015-05-18,Southern Rites,7.0
2015-04-30,Barely Lethal,5.5
2015-04-11,Spooks: The Greater Good,5.9
1967-06-26,Woman Times Seven,5.5
2015-03-13,Vehkleja,7.3
2011-02-11,Gianni e le donne,5.6
1979-04-12,Hurricane,3.5
1966-12-10,Don't Lose Your Head,7.0
1980-11-12,Indul a bakterház,7.5
2013-12-17,Suzanne,6.9
2014-04-20,"The Other One: The Long, Strange Trip of Bob Weir",7.1
2014-04-19,Ballet 422,6.3
1976-07-29,Oz,5.0
2011-11-10,J.A.C.E.,5.5
2006-05-22,ブレイブ ストーリー,6.6
2013-10-06,Restless Virgins,6.2
2014-10-16,Il giovane favoloso,6.6
1999-03-01,A Fish in the Bathtub,6.0
1938-03-18,Bulldog Drummond's Peril,5.9
1939-07-12,Bulldog Drummond's Bride,6.0
1937-05-01,Bulldog Drummond at Bay,6.5
1939-03-29,Bulldog Drummond's Secret Police,6.0
1938-08-05,Bulldog Drummond in Africa,4.8
1937-09-24,Bulldog Drummond Comes Back,6.8
1937-12-16,Bulldog Drummond's Revenge,5.8
1967-02-12,Deadlier Than the Male,6.3
1969-01-23,Some Girls Do,6.9
2014-06-13,2047 - Sights of Death,2.4
1987-11-03,Mankillers,5.5
2015-03-15,Deep Web,6.8
2014-06-13,Fugly,5.3
1951-04-14,銀座化粧,4.0
2014-01-01,"On Any Sunday, The Next Chapter",7.3
2005-04-22,Piccadilly Jim,6.5
1953-01-01,Pony Express,4.1
1979-01-01,"Schöner Gigolo, armer Gigolo",3.0
1981-07-09,The Survivor,5.4
1992-07-17,Dark Horse,6.0
2002-12-24,Shakedown,3.0
1950-09-01,Shakedown,4.5
1934-03-16,Success At Any Price,0.0
2000-11-12,Seventeen Again,5.1
1983-03-18,Sweet Sixteen,5.3
1996-10-24,The Disappearance of Garcia Lorca,6.5
2015-02-10,The Dramatics: A Comedy,5.3
1958-05-13,Up the Creek,6.0
2007-03-23,What Love Is,5.0
1953-04-29,Tsuma,0.0
1956-10-30,You Can't Run Away from It,5.0
1927-01-01,Девушка с коробкой,7.6
2012-10-31,Static,5.5
1920-05-10,The Flapper,6.5
2015-04-30,何以笙箫默,9.0
1964-12-07,大闹天宫,7.9
2014-04-19,5 to 7,6.9
2015-03-13,Seymour: An Introduction,6.4
2013-11-03,Open Secret,0.0
2007-10-28,Puffball,3.1
1997-11-09,Terrore Sull'Everest,4.4
1985-08-21,Parole de flic,5.9
1947-04-18,Fear in the Night,4.1
1983-11-07,Военно-полевой роман,5.5
1975-10-13,Афоня,6.9
1970-01-01,Beg,5.3
1971-04-30,Белорусский вокзал,7.1
1975-10-02,"Due cuori, una cappella",6.0
1972-03-31,Si può fare… amigo,5.3
1967-10-28,La più grande rapina del west,0.0
2014-08-08,Starship: Rising,2.5
1968-06-01,В огне брода нет,4.8
1968-07-02,Dozhivyom do Ponedelnika,7.3
1970-12-29,Дядя Ваня,8.3
1974-03-25,Калина Красная,6.5
1970-10-12,Начало,5.4
1972-01-01,Монолог,6.3
1963-01-01,Ya Shagayu po Moskve,7.0
1969-06-06,Не горюй!,5.4
1980-09-08,Несколько дней из жизни И.И. Обломова,4.3
1965-12-31,Обыкновенный фашизм,7.1
2012-11-15,Рассказы,6.1
2006-08-27,Моя любовь,6.6
2006-09-06,Jardins en automne,5.9
1990-12-31,Корова,6.8
2004-07-27,Voditel dlya Very,6.2
2007-03-12,Blackbird,4.0
2008-08-21,Плюс один,4.0
2003-01-01,Прогулка,6.4
2008-03-08,День радио,8.3
2005-07-21,Дура,4.3
1992-01-01,Kung Fu Rascals,0.0
2001-01-01,Waiting for Godot,7.8
2015-05-19,San Andreas Quake,3.5
1971-07-11,"Unman, Wittering and Zigo",6.8
1968-01-01,Voyage to the Planet of Prehistoric Women,2.8
1971-10-22,La figlia di Frankenstein,4.0
2014-07-11,The Lookalike,5.1
2013-08-15,The Anonymous People,6.0
2015-09-30,The Martian,7.6
1972-10-01,Treasure Island,5.5
1972-10-14,Diabólica malicia,5.3
2014-06-11,Road,7.7
2015-05-31,Return to Sender,5.0
2012-05-04,வழக்கு எண் 18/9,6.5
2007-11-18,I Am Omega,4.0
1978-05-12,The Alien Factor,3.7
2014-10-31,Magical Universe,6.3
2014-01-17,Om våld,7.5
2015-05-22,Kung Fury,7.6
2012-01-07,Morgan,6.4
2012-05-18,Follow Me: The Yoni Netanyahu Story,5.0
2011-03-02,Svet-Ake,5.3
2015-04-03,Detective Byomkesh Bakshy!,6.4
2015-02-20,बदलापुर,6.8
2014-06-06,Holiday,5.8
2007-01-01,День выборов,7.6
1982-11-21,Hécate,6.0
1974-11-28,Milano: il clan dei calabresi,0.0
1971-04-09,Il sole nella pelle,0.0
1966-08-28,Agente Logan - missione Ypotron,0.0
2008-01-01,Nobody's Perfect,6.5
2014-05-29,끝까지 간다,6.7
1972-12-12,Child's Play,7.3
1957-09-12,Woman in a Dressing Gown,7.5
1969-12-05,Shinsengumi,6.3
1959-03-01,Tiger Bay,7.8
2015-05-20,Youth,6.7
1956-12-14,Don't Knock The Rock,7.5
1956-06-19,Yield to the Night,8.0
1953-02-10,The Yellow Balloon,0.0
1959-01-01,No Trees in the Street,6.0
1966-03-25,A Man Could Get Killed,5.0
2009-10-02,Wake Up Sid,6.8
2000-10-27,Mission Kashmir,5.8
2004-06-18,Lakshya,6.7
2005-08-26,Iqbal,6.5
1998-06-19,Ghulam,6.1
1995-01-01,Rangeela,7.1
1984-07-13,Angyali üdvözlet,6.5
1984-12-07,Streetwise,8.3
2015-05-21,Survivor,5.4
2015-05-29,Hot Girls Wanted,5.9
1961-06-06,Polosatyy Reys,6.2
1979-01-01,Тот самый Мюнхгаузен,7.8
1967-03-03,"C'mon, Let's Live a Little",0.0
1998-11-01,Jari Tervon Poliisin poika,5.8
1988-04-28,Der Commander,5.4
1987-11-18,To Kill a Stranger,5.0
1987-10-01,Ground Zero,6.5
1985-01-01,Sotto il vestito niente,4.3
1985-05-30,El tesoro del Amazonas,5.3
1985-07-19,Where Is Parsifal?,5.0
1979-08-09,Jaguar Lives!,5.0
1979-04-13,"Good Luck, Miss Wyckoff",0.0
1977-08-24,The Uncanny,6.2
1975-08-08,Journey Into Fear,6.0
1974-12-12,Barry McKenzie Holds His Own,4.8
1974-09-25,The Mutations,5.0
1972-10-20,Wedding in White,5.0
1961-02-14,No Love for Johnnie,2.5
1957-01-24,The Man in the Sky,3.3
1980-12-20,Il bisbetico domato,7.0
2006-09-22,La Máquina de Bailar,4.5
2013-05-03,Bombay Talkies,5.9
2007-10-12,भूल भुलैया,6.3
2006-06-09,Phir Hera Pheri,5.6
1994-07-01,Mohra,6.0
2008-06-06,Sarkar Raj,5.3
2005-12-09,Ek Ajnabee,4.4
2005-07-01,Sarkar,6.9
2004-11-26,Hulchul,6.0
2003-01-01,Samay: When Time Strikes,8.0
1997-07-13,Border,6.5
1947-03-16,The Red House,5.5
1994-04-15,1942: A Love Story,4.6
2001-09-07,नायक,6.5
1997-07-06,Virasat,7.0
2014-09-28,The Redwood Massacre,4.1
2015-02-15,A Gift of Miracles,5.9
2015-05-18,Curse of the Witching Tree,4.6
2011-07-04,Sekai Saigo no Hibi,4.0
2015-05-06,Spy,6.9
2014-06-01,2つ目の窓,6.3
1945-08-17,The Strange Affair of Uncle Harry,4.9
2008-10-27,Tinker Bell,6.5
1999-10-10,Dazzle,5.0
2013-10-31,Vivir es Fácil con los Ojos Cerrados,6.6
2014-08-23,Melody,7.5
2003-12-17,Power Trip,4.0
2006-05-19,Pingpong,7.3
2010-08-06,Im Alter von Ellen,10.0
1982-07-29,Dögkeselyű,4.3
1957-10-01,Domino Kid,6.0
2015-07-17,Trainwreck,5.9
1967-03-12,The Busy Body,0.0
2009-10-16,The Ministers,5.0
2013-06-01,Zephyr Springs,4.1
1985-03-19,È arrivato mio fratello,5.4
1986-01-01,7 chili in 7 giorni,5.9
1986-01-01,Grandi magazzini,5.4
1987-01-01,Noi uomini duri,5.4
1987-11-13,Roba da ricchi,5.5
1987-12-23,Da grande,5.7
1990-01-01,Le comiche,5.7
1990-03-03,Piedipiatti,6.5
1991-10-19,Le comiche 2,5.5
1992-12-18,Infelici e contenti,4.6
1994-01-01,Le nuove comiche,5.0
1995-03-31,Mollo tutto,4.5
2015-03-11,Ma che bella sorpresa,5.9
1985-02-21,Lui è peggio di me,5.7
1984-01-01,Il ragazzo di campagna,6.4
1983-01-01,Un povero ricco,5.6
1982-01-01,Testa o croce,5.0
1980-03-21,Sono fotogenico,4.5
1976-01-01,"Oh, Serafina!",4.5
1975-01-01,"Paolo Barca, maestro elementare, praticamente nudista",0.0
1974-11-15,La poliziotta,5.0
1985-05-01,Night Train to Terror,4.8
2004-07-15,The Bonesetter,4.0
1987-09-25,From a Whisper to a Scream,6.8
2007-05-02,Si le vent soulève les sables,6.4
1968-06-12,The Alley Tramp,5.0
1973-11-15,La nuit des étoiles filantes,4.7
1988-09-16,Flesh Eating Mothers,4.1
1978-06-22,Matilda,3.0
1983-12-29,BMX Bandits,6.1
1982-05-07,Forbidden World,5.1
2014-10-16,La dictadura perfecta,7.1
2014-01-28,Casa Grande,7.3
2014-08-12,Turtle Power: The Definitive History of the Teenage Mutant Ninja Turtles,7.0
2006-01-26,The Race Begins,1.0
2015-05-27,Aloha,5.2
2010-11-03,Mars,5.5
1968-05-17,Wonderwall,5.7
2012-03-01,Ljudožder vegetarijanac,4.5
1969-10-07,Bitka na Neretvi,6.2
1928-05-27,Tempest,7.0
2013-09-28,The Cheating Pact,6.2
2012-03-30,Romanzo di una strage,7.2
2012-11-14,Acciaio,6.0
2012-11-30,Tutto tutto niente niente,4.8
2014-01-23,Tutta colpa di Freud,6.5
2013-03-07,Amiche da morire,6.2
2013-04-20,Ci vediamo domani,5.6
2013-10-31,Sole a catinelle,6.6
2011-01-05,Che bella giornata,6.3
2015-01-24,With This Ring,5.5
2014-10-27,She's Funny That Way,5.8
2006-05-26,புதுப்பேட்டை,8.0
2013-01-23,The Special Need,4.5
2013-11-28,La mafia uccide solo d'estate,7.4
1976-11-01,The Muthers,4.3
2012-10-03,Después de Lucía,6.6
2013-03-01,A Fierce Green Fire,5.5
2015-01-23,Misery Loves Comedy,6.5
2012-06-06,S#x Acts,8.0
2014-01-20,Song One,5.5
2014-03-09,Vessel,9.3
2014-01-18,The Lion’s Mouth Opens,9.0
2003-01-01,Maqbool,7.6
1996-09-06,കഥാപുരുഷൻ,5.0
2014-01-23,Convict,5.4
1973-12-01,Ladies & Gentlemen,5.1
2014-08-24,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,7.0
2013-02-10,La religieuse,6.5
1968-01-01,Mehed ei nuta,7.1
1990-12-20,Sügis,0.0
1974-09-12,Kilplased,6.5
1969-12-20,Kevade,6.6
1976-06-10,Suvi,8.0
1969-01-01,Viimne reliikvia,6.8
1922-12-06,Tommy Tucker's Tooth,7.0
1923-01-01,Alice's Wonderland,6.5
1979-01-01,Летучий корабль,5.3
2002-12-20,Dragon Hill. La colina del dragón,5.5
1993-10-30,The Last Outlaw,4.8
1983-08-22,"Arabella, mereröövli tütar",9.0
2015-06-02,Flight World War II,4.9
2013-02-21,Elavad pildid,7.6
2012-02-14,Tony 10,9.0
2007-05-18,Magnus,5.8
2009-03-06,Orps: The Movie,5.8
2013-01-30,Min søsters børn i Afrika,6.4
2014-10-17,Kirsitubakas,6.5
2005-01-01,Dungeons & Dragons: Wrath of the Dragon God,4.8
2006-02-24,Ruudi,5.2
2010-02-11,Dešťová víla,4.5
2012-02-15,Vasaku jala reede,6.5
2011-09-14,Freerunner,4.3
2010-03-04,Hier kommt Lola,5.6
2013-03-13,Bananot LaEurovision,5.2
1969-09-10,Hibernatus,6.5
1987-10-28,Le Cri du hibou,5.5
2013-03-11,Enter the Dangerous Mind,4.8
1972-12-07,The Amazing Mr Blunden,6.6
1952-12-07,Bomba and the Jungle Girl,0.0
2014-07-03,El Inventor de Juegos,4.9
2015-04-15,تاکسی,6.8
1991-07-01,Conagher,4.8
1937-03-05,Don't Tell the Wife,0.0
1945-11-27,Getting Gertie's Garter,0.0
1955-12-23,It's a Dog's Life,4.0
2005-01-02,Lucky 13,5.5
2014-10-16,Sadilishteto,6.0
2014-11-13,Wir waren Könige,6.0
2011-09-19,Comedy Central Roast of Charlie Sheen,6.9
2006-08-20,Comedy Central Roast of William Shatner,6.6
2011-03-15,Comedy Central Roast of Donald Trump,6.2
2014-04-14,I Am Road Comic,7.0
2014-12-12,Magician: The Astonishing Life and Work of Orson Welles,6.9
1967-08-01,Robbery,6.5
1956-07-21,Satellite in the Sky,5.4
1937-09-03,Souls at Sea,0.0
1936-07-10,The Bride Walks Out,4.1
1961-03-19,ゼロの焦点,7.5
1966-05-13,The Deadly Affair,5.7
1967-04-25,The Double Man,5.8
2011-01-30,The Fantastic Flying Books of Mr Morris Lessmore,7.7
1968-12-05,The Impossible Years,8.3
1956-04-30,The Last Hunt,7.5
1963-09-20,Pasażerka,6.3
2006-03-22,Le passager,5.7
1964-01-01,To Trap a Spy,8.0
1951-09-22,Tomorrow Is Another Day,5.5
1948-12-24,Whiplash,2.2
1961-01-01,The Fiend of Dope Island,0.0
2015-02-19,天將雄師,5.9
2012-11-13,Jab Tak Hai Jaan,7.2
2011-09-09,Mere Brother Ki Dulhan,6.5
2010-07-02,I Hate Luv Storys,6.1
2015-06-03,Entourage,6.2
2015-06-12,London Road,6.5
1970-01-01,If You Were Young: Rage,6.5
1920-11-08,Erotikon,5.5
2001-11-20,Backyard Dogs,10.0
2015-01-24,Bitter Lake,8.0
1968-01-17,How to Save a Marriage and Ruin Your Life,7.0
2015-05-14,Ventoux,5.8
2014-04-24,Murder of a Cat,4.8
2014-11-19,Das Ende der Geduld,6.4
1972-11-05,Demons of the Mind,6.1
2015-06-06,No Way Jose,4.8
2012-01-25,Tot Altijd,7.5
2014-02-08,Der Samurai,6.1
2014-11-21,Happy Ending,5.3
1962-01-01,No. 12: Heaven and Earth Magic,7.4
2007-08-12,Comedy Central Roast of Flavor Flav,6.4
2014-08-22,Tu dors Nicole,6.8
2014-08-21,Freedom,5.8
2011-01-01,Bizim Büyük Çaresizliğimiz,6.0
2013-08-08,Ashens and the Quest for the Gamechild,5.0
2013-07-24,Paranormal Whacktivity,3.3
2005-08-14,Comedy Central Roast of Pamela Anderson,7.7
1966-12-21,Ōgon Bat,0.0
1967-10-22,Festival,3.8
2011-03-22,The Prospects,1.0
2010-10-30,Die Farbe,5.9
1976-03-01,Foxtrot,4.8
